Method,Feature,Chi2,p_value,Significant_difference
GAN (filtered),Sex,18.2155,2e-05,Yes
GAN (filtered),Drug,1.2644,0.260813,No
GAN (filtered),Hepatomegaly,2.1442,0.143105,No
GAN (filtered),Spiders,0.0003,0.986304,No
GAN (filtered),Edema,119.8572,0.0,Yes
GAN (filtered),Stage,2.8298,0.418626,No
GAN (filtered),Status,4.8944,0.026944,Yes
CTGAN (filtered),Sex,6.4565,0.011055,Yes
CTGAN (filtered),Drug,0.0953,0.757512,No
CTGAN (filtered),Ascites,3.1969,0.073777,No
CTGAN (filtered),Hepatomegaly,6.188,0.012862,Yes
CTGAN (filtered),Spiders,0.5426,0.461337,No
CTGAN (filtered),Edema,7.3943,0.024794,Yes
CTGAN (filtered),Stage,3.5357,0.316157,No
CTGAN (filtered),Status,4.5042,0.033812,Yes
TVAE (filtered),Drug,91.749,0.0,Yes
TVAE (filtered),Hepatomegaly,8.1632,0.004275,Yes
TVAE (filtered),Spiders,1309.2872,0.0,Yes
TVAE (filtered),Status,32.8284,0.0,Yes
Consensus,Drug,9.3431,0.002238,Yes
Consensus,Hepatomegaly,0.3414,0.55902,No
Consensus,Spiders,29.2675,0.0,Yes
Consensus,Stage,51.8,0.0,Yes
Consensus,Status,18.5999,1.6e-05,Yes
